brand_clean,total_sales,avg_price,qty,transactions
Kettle,390239.8,4.936630497965511,79051,41288
Doritos,240590.9,4.46340913128442,53816,28145
Smith's,224660.2,3.7165556358608556,60339,31823
Pringles,177655.50000000003,3.699837861524978,48019,25102
Red Rock Deli,95046,2.824832667754092,33646,17779
Old El Paso,90785.1,5.099398326898327,17805,9324
Thins,88852.50000000001,3.299742095914742,26929,14075
Twisties,81522.09999999999,4.49943939073408,18118,9454
Tostitos,79789.6,4.4,18134,9471
Infuzions,76247.6,3.6090169123632085,21119,11057
Cobs,70569.8,3.8,18571,9693
Tyrrells,51647.4,4.199782676187519,12298,6442
Grain Waves,51617.2,3.504733850129199,14726,7740
Woolworths,49343.6,1.7715592600121977,27856,14757
Natural Chip Co,42318,3,14106,7469
Cheezels,40029.9,4.562828590049968,8747,4603
Infzns,22800,3.8,6000,3144
CC's,18078.9,2.1,8609,4551
Cheetos,16884.5,3.0526477622138706,5530,2927
Sunbites,9676.4,1.7,5692,3008
French Fries,7929,3,2643,1418
Burger,6830.999999999999,2.3,2970,1564
